순위,영화명,관람가,평점,예매율,개봉일
1,엘리멘탈,전체관람가,8.7,25.0%,23.06.14
2,스파이더맨: 어크로스 더 유니버스,전체관람가,8.5,18.2%,23.06.21
3,범죄도시3,15세이상관람가,6.6,16.8%,23.05.31
4,귀공자,청소년관람불가,8.3,14.6%,23.06.21
5,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,12세이상관람가,10.0,4.6%,23.06.23
6,플래시,12세이상관람가,7.9,4.1%,23.06.14
7,인디아나 존스: 운명의 다이얼,12세이상관람가,9.1,3.8%,23.06.28
8,수라,전체관람가,10.0,0.6%,23.06.21
9,트랜스포머: 비스트의 서막,12세이상관람가,7.2,0.6%,23.06.06
10,비의도적 연애담 스페셜,12세이상관람가,10.0,0.5%,23.06.14
11,애스터로이드 시티,12세이상관람가,6.0,0.5%,23.06.28
12,악마들,청소년관람불가,10.0,0.4%,23.07.05
13,샤이닝,청소년관람불가,8.0,0.4%,23.06.28
14,여름날 우리,12세이상관람가,8.0,0.4%,23.06.28
15,가디언즈 오브 갤럭시: Volume 3,12세이상관람가,8.7,0.3%,23.05.03
16,남은 인생 10년,12세이상관람가,8.1,0.2%,23.05.24
17,"1986 그 여름, 그리고 고등어통조림",12세이상관람가,8.9,0.2%,23.07.05
18,아버지의 마음,전체관람가,10.0,0.2%,23.07.20
19,라방,청소년관람불가,9.4,0.2%,23.06.28
20,파이어하트,전체관람가,5.5,0.2%,23.06.28
